Figura,Tempi,Stile,Presa,Video,Lezione,Password
Texas Tommy ,8,swingout,standard,texastommy,lindy int,mostratutte-mostrali
Texas Tommy giro doppio,8,swingout,standard,texastommy_girodoppio,lindy adv,mostratutte-mostrala
Texas Tommy controsterzo,8,swingout,standard,texastommy_controsterzo,boogie adv,mostratutte-mostraba
Cambio posto con finta (coreo boogie D3) ,8,aperta,,,boogie adv,mostratutte-mostraba
Lindy circle chiuso chiuso,8,swingout,standard,circleCC,lindy beg,
Lindy circle chiuso aperto,8,swingout,standard,circleCA,lindy beg,
Lindy circle aperto chiuso,8,swingout,standard,circleAC,lindy beg,
Lindy circle aperto aperto,8,swingout,standard,circleAA,lindy beg,
Yoyo lui,8,chiusa,chiusa,yoyo_lui,lindy beg,
Yoyo lei,8,chiusa,chiusa,yoyo_lei,lindy beg,
Promenade semplice lei,8,chiusa,chiusa,promenade_lei,lindy beg,
Promenade semplice lui,8,chiusa,chiusa,promenade_lui,lindy beg,
Barrel roll con richiamo lei (coreo boogie C2) ,8,aperta,,,boogie int,mostratutte-mostrabi
Send out + extra spin (coreo boogie A1) ,8,chiusa,chiusa,sendout_extraspin,boogie int,mostratutte-mostrabi
Basket,8,aperta,doppia,basket,lindy beg,
Basket + giro lei,8,aperta,doppia,basket_girolei,lindy int,mostratutte-mostrali
Basket + giro lui,8,aperta,doppia,basket_girolui,lindy int,mostratutte-mostrali
Fenicottero ,8,aperta,incrociata,fenicottero,lindy beg,
Casque frontale,8,aperta,incrociata,casque_frontale,boogie int,mostratutte-mostrabi
Casque laterale (coreo boogie D3),8,aperta,incrociata,casque_laterale,boogie int,mostratutte-mostrabi
Cambio con shuffle frontale sul 5,8,aperta,,,boogie int,mostratutte-mostrabi
Cambio con shuffle retro sul 5,8,aperta,,,boogie int,mostratutte-mostrabi
Cambio con blocco,8,aperta,standard,cambio_blocco,boogie int,mostratutte-mostrabi
Barrel roll con giro,8,aperta,standard,barrelroll8,boogie int,mostratutte-mostrabi
Sugar push doppio ,10,aperta,doppia,sugarpush_doppio,boogie int,mostratutte-mostrabi
Muletto,10,aperta,standard,muletto,boogie beg,mostratutte-mostrabb
Basket doppio,10,aperta,doppia,basket_doppio,boogie int,mostratutte-mostrabi
Casque minne laterale (coreo boogie D5),10,finisher,incrociata,,boogie int,mostratutte-mostrabi
Flip flop,10,aperta,standard,flip_flop,boogie int,mostratutte-mostrabi
Cambio shuffle,12,aperta,standard,cambio_shuffle,boogie adv,mostratutte-mostraba
Var. punta punta,12,variazione,standard,var_punta,boogie adv,mostratutte-mostraba
Var. side kick,12,variazione,standard,var_sidekick,boogie adv,mostratutte-mostraba
Var. side kick freeze,12,variazione,standard,var_sidekick_freeze,boogie adv,mostratutte-mostraba
Var. side kick doppio passo,12,variazione,standard,var_sidekick_pp,boogie adv,mostratutte-mostraba
Var. side kick giro,10,variazione,standard,var_sidekick_giro,boogie adv,mostratutte-mostraba
Promenade lindy,16,blocco16,chiusa,promenade,lindy beg,
Tuck turn lato sx + manda fuori con extra spin + pausa (coreo max) ,16,blocco16,,,lindy beg,
Texas Tommy Var. Frankie six ,16,blocco16,,,lindy int,mostratutte-mostrali
Kick the dog 4x + ritorno ,16,blocco16,chiusa,kick_dog,lindy beg,
Marinaio (richiamo 8T + giro 8T),16,blocco16,doppia,marinaio,lindy beg,
Swingout pas de bourré (coreo boogie D4) ,16,blocco16,aperta,swingout_pasdebourre,boogie int,mostratutte-mostrabi
Sendout footwork + cambio + twist (coreo boogie C1),16,blocco16,,,boogie int,mostratutte-mostrabi
Accappatoio chiuso,16,blocco16,chiusa,accappatoio_chiuso,lindy int,mostratutte-mostrali
Accappatoio con giro,16,blocco16,chiusa,accappatoio_giro,lindy int,mostratutte-mostrali
Frankie six,18,aperta,incrociata,frankie6,lindy beg,
Passo mambo,4,caramelle,standard,,lindy beg,
Fall of the log ,4,caramelle,separati,,lindy int,mostratutte-mostrali
Tacky Annie ,4,caramelle,separati,,lindy beg,
Shim sham,4,caramelle,separati,,lindy beg,
Ondeggiamenti ginocchio ,4,caramelle,standard,,boogie beg,mostratutte-mostrabb
Shorty George ,8,caramelle,separati,,lindy beg,
Box step ,8,caramelle,separati,box_step,lindy beg,
Camminata con finta presa,8,caramelle,separati,camminata_finta,lindy beg,
Talloni lento,8,caramelle,standard,talloni_lento,boogie adv,mostratutte-mostraba
Talloni medio,4,caramelle,standard,talloni_medio,boogie adv,mostratutte-mostraba
Talloni veloce,4,caramelle,standard,talloni_veloce,boogie adv,mostratutte-mostraba
flip flop frontale,,caramelle,,,boogie adv,mostratutte-mostraba
Passo Irish ,4,caramelle,standard,,boogie adv,mostratutte-mostraba
Swingout con salto avanti ,8,finisher,standard,,boogie int,mostratutte-mostrabi
Swingout con salto indietro ,8,finisher,standard,,boogie int,mostratutte-mostrabi
salto pas de chat,8,finisher,chiusa,pas_de_chat,boogie beg,mostratutte-mostrabb
salto sulla coscia ,8,finisher,chiusa,salto_coscia,boogie beg,mostratutte-mostrabb
salto sulla coscia freeze,8,finisher,chiusa,salto_coscia_freeze,boogie beg,mostratutte-mostrabb
Frog laterale,8,finisher,chiusa,frog_laterale,lindy int,mostratutte-mostrali
Frog tandem,8,finisher,incrociata,frog_tandem,lindy int,mostratutte-mostrali
Promenade (classe C I) ,8,finisher,standard,promenade_frontale_C,boogie int,mostratutte-mostrabi
Tada (classe C II) ,4,finisher,standard,tada_C,boogie int,mostratutte-mostrabi
Promenade con giro (classe C III) ,8,finisher,standard,promenade_giro_C,boogie int,mostratutte-mostrabi
Passa sotto lei (classe C IV) ,8,finisher,incrociata,,boogie int,mostratutte-mostrabi
Halleluja (classe C VI) ,8,finisher,chiusa,halleluja_C,boogie int,mostratutte-mostrabi
Torre di Pisa ,8,finisher,contraria,torrepisa,lindy int,mostratutte-mostrali
Casque,8,finisher,contraria,casque,lindy int,mostratutte-mostrali
